"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.2757e-05,1.8449e-05,1,1,0,0,1.19e-07,1.52e-07
-0.0001991,1.8453e-05,1,1,2.38e-10,2.38e-10,1.19e-07,1.52e-07
-0.00035545,1.8457e-05,1,1,4.76e-10,4.76e-10,1.19e-07,1.52e-07
-0.0005118,1.8461e-05,1,1,7.14e-10,7.14e-10,1.19e-07,1.52e-07
-0.00066814,1.8465e-05,1,1,9.52e-10,9.52e-10,1.19e-07,1.52e-07
-0.00082449,1.847e-05,1,1,1.19e-09,1.19e-09,1.19e-07,1.52e-07
-0.00098084,1.8474e-05,1,1,1.428e-09,1.428e-09,1.19e-07,1.52e-07
-0.0011372,1.8478e-05,1,1,1.666e-09,1.666e-09,1.19e-07,1.52e-07
-0.0012935,1.8482e-05,1,1,1.904e-09,1.904e-09,1.19e-07,1.52e-07
-0.0014511,1.8496e-05,1,1,2.142e-09,2.142e-09,1.19e-07,1.52e-07
-0.0016094,1.8517e-05,1,1,2.38e-09,2.38e-09,1.19e-07,1.52e-07
-0.0017678,1.8538e-05,1,1,2.618e-09,2.618e-09,1.19e-07,1.52e-07
-0.0019261,1.8559e-05,1,1,2.856e-09,2.856e-09,1.19e-07,1.52e-07
-0.0020845,1.858e-05,1,1,3.094e-09,3.094e-09,1.19e-07,1.52e-07
-0.0022428,1.8601e-05,1,1,3.332e-09,3.332e-09,1.19e-07,1.52e-07
-0.0024012,1.8622e-05,1,1,3.57e-09,3.57e-09,1.19e-07,1.52e-07
-0.0025595,1.8643e-05,1,1,3.808e-09,3.808e-09,1.19e-07,1.52e-07
-0.0027187,1.8668e-05,1,1,4.046e-09,4.046e-09,1.19e-07,1.52e-07
-0.0028811,1.8707e-05,1,1,4.284e-09,4.284e-09,1.19e-07,1.52e-07
-0.0030435,1.8747e-05,1,1,4.522e-09,4.522e-09,1.19e-07,1.52e-07
-0.003206,1.8786e-05,0.99999,1,4.76e-09,4.76e-09,1.19e-07,1.52e-07
-0.0033684,1.8825e-05,0.99999,1,4.998e-09,4.998e-09,1.19e-07,1.52e-07
-0.0035308,1.8864e-05,0.99999,1,5.236e-09,5.236e-09,1.19e-07,1.52e-07
-0.0036932,1.8904e-05,0.99999,1,5.474e-09,5.474e-09,1.19e-07,1.52e-07
-0.0038557,1.8943e-05,0.99999,1,5.712e-09,5.712e-09,1.19e-07,1.52e-07
-0.0040181,1.8982e-05,0.99999,1,5.95e-09,5.95e-09,1.19e-07,1.52e-07
-0.0041855,1.9037e-05,0.99999,1,6.188e-09,6.188e-09,1.19e-07,1.52e-07
-0.0043542,1.9096e-05,0.99999,1,6.426e-09,6.426e-09,1.19e-07,1.52e-07
-0.0045229,1.9154e-05,0.99999,1,6.664e-09,6.664e-09,1.19e-07,1.52e-07
-0.0046917,1.9213e-05,0.99999,1,6.902e-09,6.902e-09,1.19e-07,1.52e-07
-0.0048604,1.9272e-05,0.99999,1,7.14e-09,7.14e-09,1.19e-07,1.52e-07
-0.0050291,1.933e-05,0.99999,1,7.378e-09,7.378e-09,1.19e-07,1.52e-07
-0.0051979,1.9389e-05,0.99999,1,7.616e-09,7.616e-09,1.19e-07,1.52e-07
-0.0053666,1.9447e-05,0.99999,1,7.854e-09,7.854e-09,1.19e-07,1.52e-07
-0.0055387,1.9515e-05,0.99998,1,8.092e-09,8.092e-09,1.19e-07,1.52e-07
-0.0057163,1.9596e-05,0.99998,1,8.33e-09,8.33e-09,1.19e-07,1.52e-07
-0.0058938,1.9676e-05,0.99998,1,8.568e-09,8.568e-09,1.19e-07,1.52e-07
-0.0060713,1.9757e-05,0.99998,1,8.806e-09,8.806e-09,1.19e-07,1.52e-07
-0.0062489,1.9838e-05,0.99998,1,9.044e-09,9.044e-09,1.19e-07,1.52e-07
-0.0064264,1.9919e-05,0.99998,1,9.282e-09,9.282e-09,1.19e-07,1.52e-07
-0.0066039,2e-05,0.99998,1,9.52e-09,9.52e-09,1.19e-07,1.52e-07
-0.0067815,2.008e-05,0.99998,1,9.758e-09,9.758e-09,1.19e-07,1.52e-07
-0.006959,2.0161e-05,0.99998,1,9.996e-09,9.996e-09,1.19e-07,1.52e-07
-0.007148,2.0266e-05,0.99997,1,1.0234e-08,1.0234e-08,1.19e-07,1.52e-07
-0.0073372,2.0372e-05,0.99997,1,1.0472e-08,1.0472e-08,1.19e-07,1.52e-07
-0.0075264,2.0477e-05,0.99997,1,1.071e-08,1.071e-08,1.19e-07,1.52e-07
-0.0077157,2.0583e-05,0.99997,1,1.0948e-08,1.0948e-08,1.19e-07,1.52e-07
-0.0079049,2.0688e-05,0.99997,1,1.1186e-08,1.1186e-08,1.19e-07,1.52e-07
-0.0080941,2.0794e-05,0.99997,1,1.1424e-08,1.1424e-08,1.19e-07,1.52e-07
-0.0082833,2.0899e-05,0.99997,1,1.1662e-08,1.1662e-08,1.19e-07,1.52e-07
-0.0084725,2.1005e-05,0.99996,1,1.19e-08,1.19e-08,1.19e-07,1.52e-07
-0.0086705,2.1127e-05,0.99996,1,1.2138e-08,1.2138e-08,1.19e-07,1.52e-07
-0.0088748,2.1261e-05,0.99996,1,1.2376e-08,1.2376e-08,1.19e-07,1.52e-07
-0.009079,2.1394e-05,0.99996,1,1.2614e-08,1.2614e-08,1.19e-07,1.52e-07
-0.0092833,2.1528e-05,0.99996,1,1.2852e-08,1.2852e-08,1.19e-07,1.52e-07
-0.0094876,2.1662e-05,0.99995,1,1.309e-08,1.309e-08,1.19e-07,1.52e-07
-0.0096919,2.1796e-05,0.99995,1,1.3328e-08,1.3328e-08,1.19e-07,1.52e-07
-0.0098962,2.193e-05,0.99995,1,1.3566e-08,1.3566e-08,1.19e-07,1.52e-07
-0.0101,2.2064e-05,0.99995,1,1.3804e-08,1.3804e-08,1.19e-07,1.52e-07
-0.010308,2.2203e-05,0.99995,1,1.4042e-08,1.4042e-08,1.19e-07,1.52e-07
-0.010532,2.237e-05,0.99994,1,1.428e-08,1.428e-08,1.19e-07,1.52e-07
-0.010755,2.2537e-05,0.99994,1,1.4518e-08,1.4518e-08,1.19e-07,1.52e-07
-0.010978,2.2704e-05,0.99994,1,1.4756e-08,1.4756e-08,1.19e-07,1.52e-07
-0.011202,2.287e-05,0.99994,1,1.4994e-08,1.4994e-08,1.19e-07,1.52e-07
-0.011425,2.3037e-05,0.99993,1,1.5232e-08,1.5232e-08,1.19e-07,1.52e-07
-0.011649,2.3204e-05,0.99993,1,1.547e-08,1.547e-08,1.19e-07,1.52e-07
-0.011872,2.3371e-05,0.99993,1,1.5708e-08,1.5708e-08,1.19e-07,1.52e-07
-0.012095,2.3538e-05,0.99993,1,1.5946e-08,1.5946e-08,1.19e-07,1.52e-07
-0.012337,2.3735e-05,0.99992,1,1.6184e-08,1.6184e-08,1.19e-07,1.52e-07
-0.012585,2.3942e-05,0.99992,1,1.6422e-08,1.6422e-08,1.19e-07,1.52e-07
-0.012832,2.4149e-05,0.99992,1,1.666e-08,1.666e-08,1.19e-07,1.52e-07
-0.01308,2.4355e-05,0.99991,1,1.6898e-08,1.6898e-08,1.19e-07,1.52e-07
-0.013327,2.4562e-05,0.99991,1,1.7136e-08,1.7136e-08,1.19e-07,1.52e-07
-0.013575,2.4769e-05,0.99991,1,1.7374e-08,1.7374e-08,1.19e-07,1.52e-07
-0.013822,2.4975e-05,0.9999,1,1.7612e-08,1.7612e-08,1.19e-07,1.52e-07
-0.01407,2.5182e-05,0.9999,1,1.785e-08,1.785e-08,1.19e-07,1.52e-07
-0.014328,2.5406e-05,0.9999,1,1.8088e-08,1.8088e-08,1.19e-07,1.52e-07
-0.014606,2.5661e-05,0.99989,1,1.8326e-08,1.8326e-08,1.19e-07,1.52e-07
-0.014884,2.5916e-05,0.99989,1,1.8564e-08,1.8564e-08,1.19e-07,1.52e-07
-0.015161,2.617e-05,0.99988,1,1.8802e-08,1.8802e-08,1.19e-07,1.52e-07
-0.015439,2.6425e-05,0.99988,1,1.904e-08,1.904e-08,1.19e-07,1.52e-07
-0.015716,2.668e-05,0.99988,1,1.9278e-08,1.9278e-08,1.19e-07,1.52e-07
-0.015994,2.6934e-05,0.99987,1,1.9516e-08,1.9516e-08,1.19e-07,1.52e-07
-0.016272,2.7189e-05,0.99987,1,1.9754e-08,1.9754e-08,1.19e-07,1.52e-07
-0.016549,2.7444e-05,0.99986,1,1.9992e-08,1.9992e-08,1.19e-07,1.52e-07
-0.016863,2.7754e-05,0.99986,1,2.023e-08,2.023e-08,1.19e-07,1.52e-07
-0.017179,2.8066e-05,0.99985,1,2.0468e-08,2.0468e-08,1.19e-07,1.52e-07
-0.017494,2.8379e-05,0.99985,1,2.0706e-08,2.0706e-08,1.19e-07,1.52e-07
-0.017809,2.8691e-05,0.99984,1,2.0944e-08,2.0944e-08,1.19e-07,1.52e-07
-0.018124,2.9003e-05,0.99983,1,2.1182e-08,2.1182e-08,1.19e-07,1.52e-07
-0.01844,2.9315e-05,0.99983,1,2.142e-08,2.142e-08,1.19e-07,1.52e-07
-0.018755,2.9627e-05,0.99982,1,2.1658e-08,2.1658e-08,1.19e-07,1.52e-07
-0.01907,2.994e-05,0.99982,1,2.1896e-08,2.1896e-08,1.19e-07,1.52e-07
-0.019412,3.0292e-05,0.99981,1,2.2134e-08,2.2134e-08,1.19e-07,1.52e-07
-0.019774,3.0675e-05,0.9998,1,2.2372e-08,2.2372e-08,1.19e-07,1.52e-07
-0.020136,3.1059e-05,0.9998,1,2.261e-08,2.261e-08,1.19e-07,1.52e-07
-0.020499,3.1442e-05,0.99979,1,2.2848e-08,2.2848e-08,1.19e-07,1.52e-07
-0.020861,3.1825e-05,0.99978,1,2.3086e-08,2.3086e-08,1.19e-07,1.52e-07
-0.021223,3.2209e-05,0.99977,1,2.3324e-08,2.3324e-08,1.19e-07,1.52e-07
-0.021586,3.2592e-05,0.99977,1,2.3562e-08,2.3562e-08,1.19e-07,1.52e-07
-0.021948,3.2975e-05,0.99976,1,2.38e-08,2.38e-08,1.19e-07,1.52e-07
-0.02232,3.3373e-05,0.99975,1,2.4038e-08,2.4038e-08,1.19e-07,1.52e-07
-0.022741,3.3844e-05,0.99974,1,2.4276e-08,2.4276e-08,1.19e-07,1.52e-07
-0.023162,3.4315e-05,0.99973,1,2.4514e-08,2.4514e-08,1.19e-07,1.52e-07
-0.023583,3.4787e-05,0.99972,1,2.4752e-08,2.4752e-08,1.19e-07,1.52e-07
-0.024004,3.5258e-05,0.99971,1,2.499e-08,2.499e-08,1.19e-07,1.52e-07
-0.024425,3.5729e-05,0.9997,1,2.5228e-08,2.5228e-08,1.19e-07,1.52e-07
-0.024846,3.6201e-05,0.99969,1,2.5466e-08,2.5466e-08,1.19e-07,1.52e-07
-0.025267,3.6672e-05,0.99968,1,2.5704e-08,2.5704e-08,1.19e-07,1.52e-07
-0.025688,3.7143e-05,0.99967,1,2.5942e-08,2.5942e-08,1.19e-07,1.52e-07
-0.026165,3.7698e-05,0.99966,1,2.618e-08,2.618e-08,1.19e-07,1.52e-07
-0.02666,3.8279e-05,0.99964,1,2.6418e-08,2.6418e-08,1.19e-07,1.52e-07
-0.027154,3.886e-05,0.99963,1,2.6656e-08,2.6656e-08,1.19e-07,1.52e-07
-0.027649,3.9441e-05,0.99962,1,2.6894e-08,2.6894e-08,1.19e-07,1.52e-07
-0.028144,4.0022e-05,0.9996,1,2.7132e-08,2.7132e-08,1.19e-07,1.52e-07
-0.028638,4.0603e-05,0.99959,1,2.737e-08,2.737e-08,1.19e-07,1.52e-07
-0.029133,4.1184e-05,0.99957,1,2.7608e-08,2.7608e-08,1.19e-07,1.52e-07
-0.029628,4.1765e-05,0.99956,1,2.7846e-08,2.7846e-08,1.19e-07,1.52e-07
-0.030155,4.2395e-05,0.99954,1,2.8084e-08,2.8084e-08,1.19e-07,1.52e-07
-0.030742,4.3114e-05,0.99953,1,2.8322e-08,2.8322e-08,1.19e-07,1.52e-07
-0.031329,4.3833e-05,0.99951,1,2.856e-08,2.856e-08,1.19e-07,1.52e-07
-0.031916,4.4552e-05,0.99949,1,2.8798e-08,2.8798e-08,1.19e-07,1.52e-07
-0.032503,4.5271e-05,0.99947,1,2.9036e-08,2.9036e-08,1.19e-07,1.52e-07
-0.03309,4.5991e-05,0.99945,1,2.9274e-08,2.9274e-08,1.19e-07,1.52e-07
-0.033676,4.671e-05,0.99943,1,2.9512e-08,2.9512e-08,1.19e-07,1.52e-07
-0.034263,4.7429e-05,0.99941,1,2.975e-08,2.975e-08,1.19e-07,1.52e-07
-0.03485,4.8148e-05,0.99939,1,2.9988e-08,2.9988e-08,1.19e-07,1.52e-07
-0.035547,4.9032e-05,0.99937,1,3.0226e-08,3.0226e-08,1.19e-07,1.52e-07
-0.03625,4.9925e-05,0.99934,1,3.0464e-08,3.0464e-08,1.19e-07,1.52e-07
-0.036953,5.0818e-05,0.99931,1,3.0702e-08,3.0702e-08,1.19e-07,1.52e-07
-0.037656,5.1712e-05,0.99929,1,3.094e-08,3.094e-08,1.19e-07,1.52e-07
-0.038359,5.2605e-05,0.99926,1,3.1178e-08,3.1178e-08,1.19e-07,1.52e-07
-0.039061,5.3498e-05,0.99923,1,3.1416e-08,3.1416e-08,1.19e-07,1.52e-07
-0.039764,5.4391e-05,0.99921,1,3.1654e-08,3.1654e-08,1.19e-07,1.52e-07
-0.040467,5.5284e-05,0.99918,1,3.1892e-08,3.1892e-08,1.19e-07,1.52e-07
-0.04125,5.6298e-05,0.99915,1,3.213e-08,3.213e-08,1.19e-07,1.52e-07
-0.042098,5.7413e-05,0.99911,1,3.2368e-08,3.2368e-08,1.19e-07,1.52e-07
-0.042947,5.8527e-05,0.99907,1,3.2606e-08,3.2606e-08,1.19e-07,1.52e-07
-0.043796,5.9642e-05,0.99903,1,3.2844e-08,3.2844e-08,1.19e-07,1.52e-07
-0.044645,6.0756e-05,0.999,1,3.3082e-08,3.3082e-08,1.19e-07,1.52e-07
-0.045493,6.1871e-05,0.99896,1,3.332e-08,3.332e-08,1.19e-07,1.52e-07
-0.046342,6.2986e-05,0.99892,1,3.3558e-08,3.3558e-08,1.19e-07,1.52e-07
-0.047191,6.41e-05,0.99888,1,3.3796e-08,3.3796e-08,1.19e-07,1.52e-07
-0.048066,6.5255e-05,0.99884,1,3.4034e-08,3.4034e-08,1.19e-07,1.52e-07
-0.049098,6.6653e-05,0.99879,1,3.4272e-08,3.4272e-08,1.19e-07,1.52e-07
-0.050131,6.805e-05,0.99874,1,3.451e-08,3.451e-08,1.19e-07,1.52e-07
-0.051164,6.9447e-05,0.99868,1,3.4748e-08,3.4748e-08,1.19e-07,1.52e-07
-0.052196,7.0845e-05,0.99863,1,3.4986e-08,3.4986e-08,1.19e-07,1.52e-07
-0.053229,7.2242e-05,0.99857,1,3.5224e-08,3.5224e-08,1.19e-07,1.52e-07
-0.054262,7.3639e-05,0.99852,1,3.5462e-08,3.5462e-08,1.19e-07,1.52e-07
-0.055294,7.5037e-05,0.99847,1,3.57e-08,3.57e-08,1.19e-07,1.52e-07
-0.056327,7.6434e-05,0.99841,1,3.5938e-08,3.5938e-08,1.19e-07,1.52e-07
-0.057531,7.81e-05,0.99834,1,3.6176e-08,3.6176e-08,1.19e-07,1.52e-07
-0.058796,7.9861e-05,0.99826,1,3.6414e-08,3.6414e-08,1.19e-07,1.52e-07
-0.060061,8.1621e-05,0.99818,1,3.6652e-08,3.6652e-08,1.19e-07,1.52e-07
-0.061326,8.3382e-05,0.9981,1,3.689e-08,3.689e-08,1.19e-07,1.52e-07
-0.062591,8.5142e-05,0.99803,1,3.7128e-08,3.7128e-08,1.19e-07,1.52e-07
-0.063856,8.6903e-05,0.99795,1,3.7366e-08,3.7366e-08,1.19e-07,1.52e-07
-0.065121,8.8663e-05,0.99787,1,3.7604e-08,3.7604e-08,1.19e-07,1.52e-07
-0.066386,9.0424e-05,0.99779,1,3.7842e-08,3.7842e-08,1.19e-07,1.52e-07
-0.06775,9.2342e-05,0.9977,1,3.808e-08,3.808e-08,1.19e-07,1.52e-07
-0.069308,9.457e-05,0.99758,1,3.8318e-08,3.8318e-08,1.19e-07,1.52e-07
-0.070867,9.6798e-05,0.99747,1,3.8556e-08,3.8556e-08,1.19e-07,1.52e-07
-0.072425,9.9026e-05,0.99735,1,3.8794e-08,3.8794e-08,1.19e-07,1.52e-07
-0.073984,0.00010125,0.99724,1,3.9032e-08,3.9032e-08,1.19e-07,1.52e-07
-0.075542,0.00010348,0.99712,1,3.927e-08,3.927e-08,1.19e-07,1.52e-07
-0.077101,0.00010571,0.99701,1,3.9508e-08,3.9508e-08,1.19e-07,1.52e-07
-0.078659,0.00010794,0.99689,1,3.9746e-08,3.9746e-08,1.19e-07,1.52e-07
-0.080218,0.00011017,0.99678,1,3.9984e-08,3.9984e-08,1.19e-07,1.52e-07
-0.082123,0.00011296,0.99661,1,4.0222e-08,4.0222e-08,1.19e-07,1.52e-07
-0.084053,0.00011579,0.99644,1,4.046e-08,4.046e-08,1.19e-07,1.52e-07
-0.085982,0.00011862,0.99627,1,4.0698e-08,4.0698e-08,1.19e-07,1.52e-07
-0.087912,0.00012146,0.99609,1,4.0936e-08,4.0936e-08,1.19e-07,1.52e-07
-0.089842,0.00012429,0.99592,1,4.1174e-08,4.1174e-08,1.19e-07,1.52e-07
-0.091772,0.00012712,0.99575,1,4.1412e-08,4.1412e-08,1.19e-07,1.52e-07
-0.093702,0.00012995,0.99558,1,4.165e-08,4.165e-08,1.19e-07,1.52e-07
-0.095632,0.00013278,0.99541,1,4.1888e-08,4.1888e-08,1.19e-07,1.52e-07
-0.09781,0.00013603,0.99519,1,4.2126e-08,4.2126e-08,1.19e-07,1.52e-07
-0.10021,0.00013965,0.99493,1,4.2364e-08,4.2364e-08,1.19e-07,1.52e-07
-0.10261,0.00014326,0.99468,1,4.2602e-08,4.2602e-08,1.19e-07,1.52e-07
-0.10501,0.00014688,0.99442,1,4.284e-08,4.284e-08,1.19e-07,1.52e-07
-0.10741,0.00015049,0.99416,1,4.3078e-08,4.3078e-08,1.19e-07,1.52e-07
-0.10981,0.00015411,0.99391,1,4.3316e-08,4.3316e-08,1.19e-07,1.52e-07
-0.11221,0.00015772,0.99365,1,4.3554e-08,4.3554e-08,1.19e-07,1.52e-07
-0.1146,0.00016134,0.99339,1,4.3792e-08,4.3792e-08,1.19e-07,1.52e-07
-0.11708,0.00016508,0.99312,1,4.403e-08,4.403e-08,1.19e-07,1.52e-07
-0.12007,0.00016971,0.99273,1,4.4268e-08,4.4268e-08,1.19e-07,1.52e-07
-0.12306,0.00017434,0.99234,1,4.4506e-08,4.4506e-08,1.19e-07,1.52e-07
-0.12605,0.00017897,0.99195,1,4.4744e-08,4.4744e-08,1.19e-07,1.52e-07
-0.12905,0.00018361,0.99156,1,4.4982e-08,4.4982e-08,1.19e-07,1.52e-07
-0.13204,0.00018824,0.99117,1,4.522e-08,4.522e-08,1.19e-07,1.52e-07
-0.13503,0.00019287,0.99078,1,4.5458e-08,4.5458e-08,1.19e-07,1.52e-07
-0.13802,0.0001975,0.99039,1,4.5696e-08,4.5696e-08,1.19e-07,1.52e-07
-0.14101,0.00020213,0.99,1,4.5934e-08,4.5934e-08,1.19e-07,1.52e-07
-0.14454,0.00020771,0.98946,1,4.6172e-08,4.6172e-08,1.19e-07,1.52e-07
-0.14828,0.00021365,0.98886,1,4.641e-08,4.641e-08,1.19e-07,1.52e-07
-0.15202,0.0002196,0.98826,1,4.6648e-08,4.6648e-08,1.19e-07,1.52e-07
-0.15575,0.00022554,0.98767,1,4.6886e-08,4.6886e-08,1.19e-07,1.52e-07
-0.15949,0.00023149,0.98707,1,4.7124e-08,4.7124e-08,1.19e-07,1.52e-07
-0.16323,0.00023743,0.98647,1,4.7362e-08,4.7362e-08,1.19e-07,1.52e-07
-0.16696,0.00024338,0.98588,1,4.76e-08,4.76e-08,1.19e-07,1.52e-07
-0.1707,0.00024932,0.98528,1,4.7838e-08,4.7838e-08,1.19e-07,1.52e-07
-0.17473,0.00025581,0.98458,1,4.8076e-08,4.8076e-08,1.19e-07,1.52e-07
-0.1794,0.00026345,0.98367,1,4.8314e-08,4.8314e-08,1.19e-07,1.52e-07
-0.18407,0.0002711,0.98275,1,4.8552e-08,4.8552e-08,1.19e-07,1.52e-07
-0.18874,0.00027874,0.98183,1,4.879e-08,4.879e-08,1.19e-07,1.52e-07
-0.1934,0.00028638,0.98091,1,4.9028e-08,4.9028e-08,1.19e-07,1.52e-07
-0.19807,0.00029403,0.97999,1,4.9266e-08,4.9266e-08,1.19e-07,1.52e-07
-0.20274,0.00030167,0.97908,1,4.9504e-08,4.9504e-08,1.19e-07,1.52e-07
-0.20741,0.00030931,0.97816,1,4.9742e-08,4.9742e-08,1.19e-07,1.52e-07
-0.21207,0.00031695,0.97724,1,4.998e-08,4.998e-08,1.19e-07,1.52e-07
-0.21779,0.00032659,0.97586,1,5.0218e-08,5.0218e-08,1.19e-07,1.52e-07
-0.22361,0.0003364,0.97445,1,5.0456e-08,5.0456e-08,1.19e-07,1.52e-07
-0.22942,0.00034622,0.97303,1,5.0694e-08,5.0694e-08,1.19e-07,1.52e-07
-0.23524,0.00035604,0.97161,1,5.0932e-08,5.0932e-08,1.19e-07,1.52e-07
-0.24105,0.00036585,0.97019,1,5.117e-08,5.117e-08,1.19e-07,1.52e-07
-0.24687,0.00037567,0.96877,1,5.1408e-08,5.1408e-08,1.19e-07,1.52e-07
-0.25269,0.00038549,0.96735,1,5.1646e-08,5.1646e-08,1.19e-07,1.52e-07
-0.2585,0.00039531,0.96593,1,5.1884e-08,5.1884e-08,1.19e-07,1.52e-07
-0.26503,0.00040653,0.96411,1,5.2122e-08,5.2122e-08,1.19e-07,1.52e-07
-0.27223,0.0004191,0.96192,1,5.236e-08,5.236e-08,1.19e-07,1.52e-07
-0.27944,0.00043166,0.95972,1,5.2598e-08,5.2598e-08,1.19e-07,1.52e-07
-0.28664,0.00044422,0.95752,1,5.2836e-08,5.2836e-08,1.19e-07,1.52e-07
-0.29385,0.00045679,0.95532,1,5.3074e-08,5.3074e-08,1.19e-07,1.52e-07
-0.30105,0.00046935,0.95312,1,5.3312e-08,5.3312e-08,1.19e-07,1.52e-07
-0.30826,0.00048192,0.95092,1,5.355e-08,5.355e-08,1.19e-07,1.52e-07
-0.31546,0.00049448,0.94873,1,5.3788e-08,5.3788e-08,1.19e-07,1.52e-07
-0.32284,0.00050742,0.9464,1,5.4026e-08,5.4026e-08,1.19e-07,1.52e-07
-0.33167,0.00052336,0.943,1,5.4264e-08,5.4264e-08,1.19e-07,1.52e-07
-0.3405,0.00053931,0.9396,1,5.4502e-08,5.4502e-08,1.19e-07,1.52e-07
-0.34933,0.00055526,0.9362,1,5.474e-08,5.474e-08,1.19e-07,1.52e-07
-0.35815,0.0005712,0.9328,1,5.4978e-08,5.4978e-08,1.19e-07,1.52e-07
-0.36698,0.00058715,0.9294,1,5.5216e-08,5.5216e-08,1.19e-07,1.52e-07
-0.37581,0.0006031,0.926,1,5.5454e-08,5.5454e-08,1.19e-07,1.52e-07
-0.38463,0.00061905,0.9226,1,5.5692e-08,5.5692e-08,1.19e-07,1.52e-07
-0.39346,0.00063499,0.9192,1,5.593e-08,5.593e-08,1.19e-07,1.52e-07
-0.40355,0.00065375,0.91452,1,5.6168e-08,5.6168e-08,1.19e-07,1.52e-07
-0.41415,0.00067369,0.90931,1,5.6406e-08,5.6406e-08,1.19e-07,1.52e-07
-0.42476,0.00069362,0.90409,1,5.6644e-08,5.6644e-08,1.19e-07,1.52e-07
-0.43537,0.00071355,0.89887,1,5.6882e-08,5.6882e-08,1.19e-07,1.52e-07
-0.44598,0.00073348,0.89365,1,5.712e-08,5.712e-08,1.19e-07,1.52e-07
-0.45659,0.00075341,0.88844,1,5.7358e-08,5.7358e-08,1.19e-07,1.52e-07
-0.4672,0.00077334,0.88322,1,5.7596e-08,5.7596e-08,1.19e-07,1.52e-07
-0.47781,0.00079328,0.878,1,5.7834e-08,5.7834e-08,1.19e-07,1.52e-07
-0.48894,0.00081452,0.87198,1,5.8072e-08,5.8072e-08,1.19e-07,1.52e-07
-0.50129,0.00083878,0.86409,1,5.831e-08,5.831e-08,1.19e-07,1.52e-07
-0.51363,0.00086304,0.85621,1,5.8548e-08,5.8548e-08,1.19e-07,1.52e-07
-0.52598,0.0008873,0.84832,1,5.8786e-08,5.8786e-08,1.19e-07,1.52e-07
-0.53833,0.00091156,0.84044,1,5.9024e-08,5.9024e-08,1.19e-07,1.52e-07
-0.55067,0.00093583,0.83255,1,5.9262e-08,5.9262e-08,1.19e-07,1.52e-07
